Samples	Tetracosactide-w00-T1	Tetracosactide-w25-T1	Tetracosactide-w00-T2	Tetracosactide-w25-T2	Tetracosactide-w00-T3	Tetracosactide-w25-T3	Tetracosactide-w00-T4	Tetracosactide-w25-T4	Tetracosactide-w00-T5	Tetracosactide-w25-T5	Tetracosactide-w00-T6	Tetracosactide-w25-T6	Prednisolone-d0-P1	Prednisolone-d4-P1	Prednisolone-d0-P2	Prednisolone-d4-P2	Prednisolone-d0-P3	Prednisolone-d4-P3	Prednisolone-d0-P4	Prednisolone-d4-P4	Prednisolone-d0-P5	Prednisolone-d4-P5	Prednisolone-d0-P6	Prednisolone-d4-P6	Prednisolone-d0-P7	Prednisolone-d4-P7	Prednisolone-d0-P8	Prednisolone-d4-P8
Factors	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after
CE(16:0)	2.06515109	0.329376327	2.297941196	1.514528685	2.523259493	2.144915635	0.769873123	1.55203358	1.909081966	2.602192444	2.602305491	1.190505233	2.368837831	3.569008028	1.143139192	2.220072149	3.879174089	1.277055819	2.514061287	2.528734111	2.469602255	3.502378409	2.760719586	4.145120715	3.093803802	2.806502092	3.144947818	3.471401625
CE(16:1)	0.33679551	0.120584638	0.485195043	0.53064835	0.527161972	0.464392708	0.216673113	0.340584483	0.581606413	0.488241087	0.502008623	0.281055131	0.385594685	0.378247544	0.204439919	0.352224245	0.66136969	0.305576972	0.55358851	0.971464373	0.471216861	0.671953246	0.387882135	0.479074609	0.529264467	0.446527002	0.539459059	0.561148455
CE(17:0)	0.037594368	0.005285422	0.045414872	0.027424756	0.054777763	0.043437107	0.018963562	0.032796729	0.048130339	0.049304776	0.072951645	0.032462597	0.045397049	0.08172682	0.032910332	0.037285083	0.082177874	0.034595788	0.040481515	0.04348191	0.049564176	0.072671848	0.058707431	0.09337132	0.067442523	0.068485155	0.069911392	0.076143198
CE(17:1)	0.045856033	0.013126049	0.069240269	0.068458529	0.081731348	0.09097137	0.020184829	0.034627615	0.070608794	0.047702552	0.066620259	0.041349192	0.048371784	0.064089352	0.026871739	0.026428985	0.058659864	0.04616603	0.051397879	0.05842048	0.045686128	0.06535408	0.067564307	0.064723301	0.059052855	0.069779711	0.047783322	0.060724596
CE(18:0)	0.394058705	0.033987717	0.533578925	0.353145409	0.567905763	0.690497715	0.134271518	0.161993555	0.459920524	0.363049197	0.673202287	0.697763463	0.585634861	1.37658229	0.289349245	0.396135292	0.691699813	0.289830716	0.381504167	0.282308492	0.434307368	0.817296942	0.609934154	0.893972513	0.545653586	0.586244297	0.634892601	0.627097013
CE(18:1)	21.04693392	5.062944679	23.58307421	22.16447389	27.55035945	35.47520845	10.4387115	15.44132911	28.42308084	21.06264328	24.13158828	22.31702416	23.53270049	23.50236863	15.51743938	17.80048271	28.80939994	19.16614322	20.39711174	21.0734067	19.38098755	28.51252139	26.66059542	18.58857714	23.69495818	25.83409094	23.48989486	23.18970371
CE(18:2)	87.14995961	30.64386435	94.82786508	91.20574495	105.8012477	100.8114337	58.13268051	76.58597541	108.6227328	103.2862585	116.4279419	42.01260241	83.61037006	69.79440969	39.10706852	69.79763836	112.5606555	76.35819137	87.48153972	106.0880101	82.08021448	104.9409139	103.1478717	70.21503962	102.603328	96.96313961	77.10880442	91.302406
CE(18:3)	1.646421081	0.293393451	0.96533177	0.614438558	1.906565651	1.118704921	0.720513583	1.209060985	2.769345664	2.042907327	2.400685996	0.335568419	0.534072781	0.516374959	0.173307617	0.469956762	0.986188549	0.542766921	0.993351187	1.936031091	1.226585789	2.097130807	1.01661527	1.264564053	1.348622834	2.047355669	1.225029931	2.305255097
CE(20:1)	0.016523331	0.00262521	0.026831062	0.020947552	0.024237332	0.050471163	0.003290636	0.008637003	0.016849397	0.017806525	0.025360721	0.086644296	0.018753767	0.045837766	0.016773869	0.019765586	0.024653362	0.017661859	0.016222929	0.015929394	0.019118097	0.031833979	0.030736508	0.025014768	0.028063113	0.033437427	0.021529115	0.02795611
